id,title,description,availability,condition,price,link,image_link,brand,google_product_category
"N1","Tornillo Punta Aguja 6 X 1 1/2 Drywall P/ Madera","El Tornillo Punta Aguja 6 x 1 1/2"" Drywall para Madera es la solución ideal para la fijación de placas de yeso a estructuras de madera. Con un diámetro de 3.5 mm y una forma de cabeza trompeta, este tornillo ofrece un agarre firme y estable, asegurando un ensamblaje duradero. Su punta aguja permite una penetración precisa en la madera, facilitando el trabajo en proyectos de construcción y renovación.  Este tornillo destaca por su rosca helicoidal, diseñada para proporcionar un apriete eficiente y seguro, siendo compatible con el sistema PH2. Fabricado en acero con recubrimiento negro anticorrosivo, garantiza resistencia frente a la corrosión, lo que lo convierte en una elección confiable para aplicaciones tanto interiores como exteriores. Viene en un paquete de 1000 unidades, lo que asegura contar con el material suficiente para llevar a cabo grandes proyectos sin preocupaciones.  La superficie recomendada para su uso son las placas de yeso y la madera, lo que amplía su versatilidad en diferentes trabajos. Ideal tanto para profesionales de la construcción como para aficionados al bricolaje, estos tornillos son esenciales en la caja de herramientas de cualquier persona que busque calidad y eficacia en sus fijaciones. Cada proyecto se ejecutará con precisión y seguridad.  Somos LA TARIMA. Estamos en Hurlingham con atención al público y hacemos Mercado Envíos a todo el país. Trabajamos como revendedores seleccionando marcas de confianza; todos nuestros productos son normalizados y cumplen con los más altos estándares de calidad. Realizamos facturas A y B.","in stock","new","17000 ARS","https://latarimadecoracion.github.io/?s=N1","https://latarimadecoracion.github.io/img/tornillos/tornillo-punta-aguja-6-x-1-12-drywall-p-madera/1789865946940-imagenwebp.webp","La Tarima","Furniture"
"L1","Kit Instalación Electrica Domiciliario Termica Y Diyuntor","MATERIALES INCLUIDOS EN LA PUBLICACIÓN:  1 x Caño corrugado blanco 3/4"" (ignífugo) - Rollo x 25 mts. 1 x Caja de embutir para térmica y disyuntor 1 x Térmica Sica bipolar (2 x 32A.) 1 x Disyuntor Sica bipolar (2 x 40A.) 10 x Caja rectangular metálica 10x5 3 x Caja octogonal metálica 3 x Portalámparas 3 x Lámpara LED 9W (luz día) 25 x Conector 3/4"" PVC 1 x Cinta aisladora Tacsa x 10 mts. 1 x Buscapolo Sica 8 x Tapa TAAD armada (2 módulos tomas) 1 x Tapa TAAD armada (1 tecla + 1 toma) 1 x Tapa TAAD armada (2 teclas)  LA TARIMA  Comercializamos una selección de artículos de marcas líderes para ofrecerte soluciones prácticas y confiables. Calidad garantizada: Todos los productos con los que trabajamos son normalizados y cumplen con los más altos estándares de seguridad y calidad del mercado. Envíos: Realizamos Envíos a todo el país.  Garantía de fábrica: 3 meses","in stock","new","123500 ARS","https://latarimadecoracion.github.io/?s=L1","https://latarimadecoracion.github.io/img/kits-electricos/kit-instalacin-electrica-domiciliario-termica-y-diyuntor/1789839131702-imagenwebp.webp","La Tarima","Furniture"
"L2","Kit Materiales Eléctricos Domiciliarios C/cables 2 Ambientes","MATERIALES INCLUIDOS EN LA PUBLICACIÓN:  1 = CAÑO CORRUGADO BLANCO 3/4 (IGNÍFUGO) ROLLO X 25 mts. 1 = CAJA DE EMBUTIR P/TÉRMICA + DISYUNTOR 1 = TÉRMICA SICA BIPOLAR (2 X 32A.) 1 = DISYUNTOR SICA BIPOLAR (2 X 40A.) 10 = CAJA RECTANGULAR METÁLICA 10X5 3 = CAJA OCTOGONAL METÁLICA 3 = PORTALÁMPARAS 3 = LÁMPARA LED 9W (LUZ DÍA) 25 = CONECTOR 3/4 PVC 1 = CINTA AISLADORA TACSA X 10 mts. 1 = BUSCAPOLO 30 mts. = CABLE 1 X 2,5 mm CELESTE (NORMALIZADO) 30 mts. = CABLE 1 X 2,5 mm MARRÓN (NORMALIZADO) 30 mts. = CABLE 1 X 2,5 mm VERDE/AMARILLO (NORMALIZADO) 15 mts. = CABLE 1 X 1,5 mm NEGRO (NORMALIZADO) 8 = TAPA TAAD ARMADA (2 MÓDULOS TOMAS) 1 = TAPA TAAD ARMADA (1 TECLA + 1 TOMA) 1 = TAPA TAAD ARMADA (2 TECLAS)  LOS CABLES SON NORMALIZADOS, RESPETA 100% LA CANTIDAD DE COBRE (la mayoría de los que publican no lo hacen).  Somos LA TARIMA. Estamos en Hurlingham con atención al público y hacemos Mercado Envíos a todo el país. Trabajamos exclusivamente como revendedores seleccionando marcas de confianza; todos nuestros productos son normalizados y cumplen con los más altos estándares de calidad.  Aviso legal:  Cable no propagador de incendio. Cumple con norma IRAM. Garantía de fábrica: 6 meses","in stock","new","250000 ARS","https://latarimadecoracion.github.io/?s=L2","https://latarimadecoracion.github.io/img/kits-electricos/kit-materiales-elctricos-domiciliarios-ccables-2-ambientes/1789839031531-imagenwebp.webp","La Tarima","Furniture"
"L3","Kit Materiales Eléctricos Domiciliarios C/cables 3 Ambientes","KIT INSTALACIÓN ELÉCTRICA  Este kit tiene la particularidad de estar hecho a medida para una vivienda, lo que significa que se utiliza el 100% de los materiales sin producir un gasto innecesario. Asimismo, cuenta con la posibilidad de dejar la casa o departamento completamente habitable en lo que a la parte eléctrica respecta.  MATERIALES INCLUIDOS EN LA PUBLICACIÓN:  2 = CAÑO CORRUGADO BLANCO 3/4 (IGNÍFUGO) ROLLO X 25 mts. 1 = CAJA DE EMBUTIR P/TÉRMICA + DISYUNTOR 1 = TÉRMICA SICA BIPOLAR (2 X 32A.) 1 = DISYUNTOR SICA BIPOLAR (2 X 40A.) 20 = CAJA RECTANGULAR METÁLICA 10X5 6 = CAJA OCTOGONAL METÁLICA 6 = PORTALÁMPARAS 6 = LÁMPARA LED 9W (LUZ DÍA) 50 = CONECTOR 3/4 PVC 1 = CINTA AISLADORA TACSA X 20 mts. 1 = BUSCAPOLO SICA 60 mts. = CABLE 1 X 2,5 mm CELESTE (NORMALIZADO) 60 mts. = CABLE 1 X 2,5 mm MARRÓN (NORMALIZADO) 60 mts. = CABLE 1 X 2,5 mm VERDE/AMARILLO (NORMALIZADO) 30 mts. = CABLE 1 X 1,5 mm NEGRO (NORMALIZADO) 15 = TAPA TAAD ARMADA (2 MÓDULOS TOMAS) 4 = TAPA TAAD ARMADA (1 TECLA + 1 TOMA) 1 = TAPA TAAD ARMADA (2 TECLAS)  LOS CABLES SON NORMALIZADOS, RESPETAN 100% LA CANTIDAD DE COBRE (la mayoría de los que publican no lo hacen).  Somos LA TARIMA. Estamos en Hurlingham con atención al público y hacemos Mercado Envíos a todo el país. Trabajamos como revendedores seleccionando marcas de confianza; todos nuestros productos son normalizados y cumplen con los más altos estándares de calidad. Realizamos facturas A y B.  Aviso legal:  Cable no propagador de incendio.  Cumple con norma IRAM.  Garantía de fábrica: 3 meses","in stock","new","390000 ARS","https://latarimadecoracion.github.io/?s=L3","https://latarimadecoracion.github.io/img/kits-electricos/kit-materiales-elctricos-domiciliarios-ccables-3-ambientes/1789839502383-imagenwebp.webp","La Tarima","Furniture"
"L4","Kit Instalación Materiales Eléctricos Cables Completo Full","MATERIALES INCLUIDOS EN LA PUBLICACIÓN:  4 = CAÑO CORRUGADO BLANCO 3/4 (IGNÍFUGO) ROLLO X 25 mts. 1 = CAJA DE EMBUTIR/EXTERIOR 3 TÉRMICAS + 1 DISYUNTOR 1 = TÉRMICA SICA BIPOLAR (2 X 25A.) 1 = TÉRMICA SICA BIPOLAR (2 X 20A.) 1 = TÉRMICA SICA BIPOLAR (2 X 15A.) 1 = DISYUNTOR SICA BIPOLAR (2 X 25A.) 25 = CAJA RECTANGULAR METÁLICA 10X5 15 = CAJA OCTOGONAL METÁLICA 10 = PORTALÁMPARAS 10 = LÁMPARA LED 9W (LUZ DÍA) 75 = CONECTOR 3/4 PVC 1 = CINTA AISLADORA TACSA X 10 mts. 1 = BUSCAPOLO SICA 100 mts. = CABLE 1 X 2,5 mm CELESTE (NORMALIZADO) 100 mts. = CABLE 1 X 2,5 mm MARRÓN (NORMALIZADO) 100 mts. = CABLE 1 X 2,5 mm VERDE/AMARILLO (NORMALIZADO) 50 mts. = CABLE 1 X 1,5 mm NEGRO (NORMALIZADO) 50 mts. = CABLE 1 X 1,5 mm CELESTE (NORMALIZADO) 17 = TAPA TAAD ARMADA (2 MÓDULOS TOMAS) 6 = TAPA TAAD ARMADA (1 TECLA) 2 = TAPA TAAD ARMADA (2 TECLAS) 1 = CINTA PASACABLE PVC X 10 mts.  LOS CABLES SON NORMALIZADOS, RESPETAN 100% LA CANTIDAD DE COBRE (la mayoría de los que publican no lo hacen).  Somos LA TARIMA. Estamos en Hurlingham con atención al público y hacemos Mercado Envíos a todo el país. Trabajamos como revendedores seleccionando marcas de confianza; todos nuestros productos son normalizados y cumplen con los más altos estándares de calidad. Realizamos facturas A y B.  Aviso legal:  Cable no propagador de incendio.  Cumple con norma IRAM.  Garantía de fábrica: 3 meses","in stock","new","599000 ARS","https://latarimadecoracion.github.io/?s=L4","https://latarimadecoracion.github.io/img/kits-electricos/kit-instalacin-materiales-elctricos-cables-completo-full/1789848498770-imagenwebp.webp","La Tarima","Furniture"
"52","Baranda: Desmontable - Estilo Montessori","La Tarima - Carpintería ""Baranda de seguridad para cama Infantil o Adultos"" (Desmontable)  Medidas: Alto x Largo: 45 x 110 cm:  Si su medida no esta, puede enviarla por mensaje privado a la brevedad después de la compra.  • La Publicaciones corresponde a 1 baranda al natural/rustica: Esto significa que no ira enmasillada, tampoco pintada o barnizada. • Súper Resistente, con un fuerte empalme a la cama. • La madera ya esta cepillada, lijada y con los bordes todos contorneados o redondeados, todo para que sea suave al tacto.  Utilizó madera de pino de 1x3 pulgadas, muy resistente y duradera. No usó clavos ni remaches, hago las uniones con tornillos y cola vinílica para que aguanten de verdad.  LEER ANTES DE COMPRAR  • Agarre: Cuenta con una altura de 8cm (Ideal para un buen agarre y estabilidad), y el espesor debe elegir el que coincida con su cama, para esto recomendamos medir muy bien y luego hacer la compra.  • Si necesita otro largo o alto, haga su consulta antes de comprar, ya que una vez realizada la compra estas medidas no serán modificadas.  Garantía del vendedor: 30 días","in stock","new","27000 ARS","https://latarimadecoracion.github.io/?s=52","https://latarimadecoracion.github.io/img/barandas-para-cama/baranda-desmontable-montessori/1782438687066-imagen.webp","La Tarima","Furniture"
"51","Baranda: Desmontable Clásica","Seguridad y comodidad superior para la cama de los más chicos. No dudes en hacer todas tus consultas","in stock","new","27000 ARS","https://latarimadecoracion.github.io/?s=51","https://latarimadecoracion.github.io/img/barandas-para-cama/baranda-desmontable-clasica/1782437453517-imagen.webp","La Tarima","Furniture"
"91","Escaleras para cama","Seguridad y firmeza absoluta para alcanzar cada nivel.","in stock","new","40000 ARS","https://latarimadecoracion.github.io/?s=91","https://latarimadecoracion.github.io/img/escaleras/escaleras/1780288089831-imagen.webp","La Tarima","Furniture"
"31","Perchero De Pie Torneado Reforzado 8 Ganchos","Funcionalidad y elegancia para organizar tu entrada.","in stock","new","35000 ARS","https://latarimadecoracion.github.io/?s=31","https://latarimadecoracion.github.io/img/percheros/perchero-1/1782624223963-imagen.webp","La Tarima","Furniture"
"C1","Banquito de Plaza","Productos pensados para fomentar la autonomía de los más pequeños.","in stock","new","33000 ARS","https://latarimadecoracion.github.io/?s=C1","https://latarimadecoracion.github.io/img/sillas-y-sillones/banquito-de-plaza/1782606556989-imagen.webp","La Tarima","Furniture"
